ensgene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	test	chromosome_name	start_position	end_position	strand	gene_biotype	description	external_gene_name
ENSG00000005108	14.191618511401368	-3.5528829445702574	0.9413047639131142	-3.7744236306640015	1.603780281774278e-4	0.011449409007106058	TRUE	7	11370365	11832198	-1	protein_coding	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]	THSD7A
ENSG00000008517	998.8050728006904	1.21333811360402	0.15360969446091233	7.898838142098949	2.81515159589133e-15	1.4005379189559367e-12	TRUE	16	3065297	3082192	1	protein_coding	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	IL32
ENSG00000023445	266.7654881292762	1.6106303567027946	0.2348414788317507	6.858372569935616	6.964941977804745e-12	2.6400446734917033e-9	TRUE	11	102317450	102339403	1	protein_coding	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	BIRC3
ENSG00000025708	594.1369124285849	1.020165792835891	0.19357204840018724	5.27021231250712	1.3626604706012726e-7	2.7460195812623113e-5	TRUE	22	50525752	50530032	-1	protein_coding	thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]	TYMP
ENSG00000047936	62.00279279872401	1.5424557291158327	0.4467779614109869	3.4523988699991897	5.556257112315303e-4	0.031704520870272264	TRUE	6	117288300	117425855	-1	protein_coding	ROS proto-oncogene 1, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10261]	ROS1
ENSG00000059588	345.6273644179131	1.2501600644766762	0.24113285237623452	5.184528164275507	2.165624192846781e-7	4.14451663461437e-5	TRUE	1	234391313	234479179	-1	protein_coding	TAR (HIV-1) RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11568]	TARBP1
ENSG00000078401	244.62670270046615	1.0704644085429948	0.20654515380887994	5.182713749524791	2.1868052594698937e-7	4.14451663461437e-5	TRUE	6	12290361	12297194	1	protein_coding	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	EDN1
ENSG00000081041	569.7196997906715	1.2171312109273047	0.18781797620568888	6.480376562008971	9.14939809448814e-11	2.8560474051813963e-8	TRUE	4	74097040	74099196	-1	protein_coding	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	CXCL2
ENSG00000089127	235.9353120769642	1.6928110721747995	0.22471144787953126	7.5332658311307865	4.9486720081754215e-14	2.387359344550082e-11	TRUE	12	112906783	112933222	1	protein_coding	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	OAS1
ENSG00000090339	1901.4704477080265	1.9463296725088237	0.16518072217023017	11.783031620984174	4.7744405107731927e-32	8.445454770167692e-29	TRUE	19	10271093	10286615	1	protein_coding	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	ICAM1
ENSG00000091127	390.6849647152385	-1.1620587893474446	0.27201869765299813	-4.271981298983462	1.9374382783504764e-5	0.0020292116704828675	TRUE	7	105439661	105522271	-1	protein_coding	pseudouridine synthase 7 [Source:HGNC Symbol;Acc:HGNC:26033]	PUS7
ENSG00000091513	65.28922374335426	1.8493793857521472	0.43195150522092396	4.281451420816955	1.8567826102441818e-5	0.001970665277005825	TRUE	3	133746040	133796641	1	protein_coding	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	TF
ENSG00000093134	14.825326015767574	2.6052984394383643	0.7544814901404787	3.4530978870711295	5.54187862079907e-4	0.031704520870272264	TRUE	6	132722787	132736935	-1	protein_coding	vanin 3 [Source:HGNC Symbol;Acc:HGNC:16431]	VNN3
ENSG00000100033	48.78889503157245	-2.3488148767764843	0.48617891375899674	-4.831173895667579	1.3573038876283948e-6	2.2508622803170882e-4	TRUE	22	18912777	18936553	-1	protein_coding	proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]	PRODH
ENSG00000100906	2347.190830471657	1.0541555533600782	0.17010368102269346	6.1971354589289795	5.750001293845775e-10	1.6346432249647274e-7	TRUE	14	35401513	35404749	-1	protein_coding	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	NFKBIA
ENSG00000100985	312.63470097598764	2.3017552311077756	0.2693707755097211	8.54493300823834	1.2861085743922863e-17	8.189939401730078e-15	TRUE	20	46008908	46016561	1	protein_coding	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	MMP9
ENSG00000101639	335.020485767996	-1.0289628227562624	0.19262934335145493	-5.341672275126356	9.209303723000996e-8	1.929106779870735e-5	TRUE	18	12991362	13125052	1	protein_coding	centrosomal protein 192 [Source:HGNC Symbol;Acc:HGNC:25515]	CEP192
ENSG00000104368	457.0267493877326	1.2855320560736818	0.19643890609927842	6.544182522702431	5.982170011504775e-11	1.9312900499673782e-8	TRUE	8	42174718	42207676	-1	protein_coding	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	PLAT
ENSG00000104856	130.67620852824064	1.2476922999514097	0.345304524101047	3.613310028878439	3.0231286991807296e-4	0.019644166894268254	TRUE	19	45001449	45038198	1	protein_coding	RELB proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9956]	RELB
